ctrl_iteration,exec_time,tau_i,tau_o
399,3118.37,1.25,0.45
400,1944.85,1.25,0.45
401,2735.37,1.25,0.50
402,2542.86,1.25,0.45
403,2350.94,1.25,0.45
404,2158.83,1.25,0.45
405,1967.76,1.25,0.50
406,1897.57,1.25,0.45
407,2591.10,1.20,0.45
408,2382.49,1.25,0.45
409,2191.04,1.25,0.45
410,2971.87,1.20,0.45
411,2779.91,1.25,0.45
412,4542.43,1.20,0.50
413,3377.88,1.25,0.45
414,4167.48,1.25,0.45
415,2994.41,1.25,0.50
416,3792.21,1.25,0.45
417,4590.29,1.25,0.45
418,3426.63,1.25,0.45
419,3243.44,1.25,0.45
420,3060.12,1.25,0.45
421,3859.31,1.25,0.45
422,4657.21,1.20,0.45
423,3492.32,1.20,0.45
424,3299.92,1.25,0.45
425,4099.34,1.25,0.50
426,2925.76,1.25,0.45
427,3742.27,1.25,0.45
428,3532.16,1.25,0.45
429,4322.90,1.25,0.45
430,2176.33,1.25,0.45
431,1985.33,1.20,0.45
432,1905.37,1.25,0.45
433,2582.80,1.25,0.45
434,2390.63,1.20,0.45
435,2198.66,1.20,0.50
436,2007.01,1.25,0.50
437,1815.20,1.25,0.45
438,2613.55,1.25,0.45
439,2421.82,1.25,0.45
440,4202.04,1.20,0.45
441,3037.56,1.25,0.45
442,2845.29,1.25,0.45
443,4607.97,1.20,0.45
444,3434.50,1.25,0.45
445,4224.77,1.25,0.45
446,3042.52,1.25,0.50
447,3858.19,1.25,0.45
448,4621.54,1.25,0.45
449,3440.31,1.25,0.45
450,3256.75,1.20,0.45
451,3065.38,1.25,0.45
452,3846.17,1.20,0.50
453,4635.72,1.25,0.45
454,3462.54,1.25,0.45
455,3270.49,1.25,0.45
456,4060.82,1.25,0.45
457,2887.12,1.25,0.45
458,3676.97,1.25,0.45
459,3485.45,1.25,0.45
460,2320.09,1.20,0.45
461,2128.54,1.25,0.50
462,1937.14,1.25,0.45
463,2718.39,1.25,0.45
464,2526.46,1.25,0.45
465,2334.47,1.25,0.45
466,2142.74,1.25,0.45
467,1951.27,1.25,0.50
468,2740.58,1.25,0.45
469,2549.30,1.25,0.45
470,4311.61,1.25,0.45
471,3146.58,1.20,0.45
472,3936.79,1.25,0.45
473,2763.37,1.25,0.45
474,4544.22,1.25,0.45
475,3378.33,1.25,0.45
476,3186.77,1.20,0.45
477,3985.61,1.25,0.50
478,2812.06,1.25,0.45
479,3610.11,1.25,0.45
480,3419.38,1.20,0.45
481,4208.29,1.20,0.45
482,3035.37,1.25,0.45
483,1870.57,1.20,0.50
484,6578.13,1.25,0.45
485,5413.01,1.25,0.45
486,4517.62,1.20,0.45
487,4039.35,1.25,0.45
488,2865.96,1.25,0.45
489,2690.63,1.25,0.50
490,2500.12,1.25,0.45
491,2299.34,1.25,0.45
492,2107.49,1.25,0.45
493,1925.07,1.20,0.45
494,2713.91,1.20,0.45
495,2531.42,1.25,0.45
496,2348.04,1.25,0.45
497,2156.13,1.25,0.45
498,1973.52,1.25,0.50
499,3744.36,1.25,0.45
500,3552.77,1.25,0.45
501,2379.28,1.20,0.45
502,4150.62,1.25,0.45
503,2985.94,1.25,0.45
504,3783.04,1.25,0.45
505,4574.18,1.20,0.45
506,3400.54,1.20,0.45
507,3208.85,1.25,0.45
508,3998.95,1.25,0.45
509,2825.45,1.25,0.45
510,3615.52,1.20,0.45
511,3414.07,1.25,0.45
512,4205.27,1.25,0.45
513,3022.94,1.25,0.45
514,1857.48,1.25,0.45
515,6556.52,1.25,0.45
516,5383.18,1.25,0.45
517,4522.65,1.25,0.45
518,4017.17,1.25,0.45
519,1871.78,1.25,0.45
520,2661.58,1.25,0.45
521,2469.84,1.25,0.45
522,2278.20,1.25,0.45
523,2086.04,1.20,0.45
524,1894.17,1.25,0.45
525,2692.68,1.20,0.45
526,2492.14,1.20,0.45
527,2300.56,1.25,0.50
528,2108.62,1.25,0.45
529,3871.57,1.25,0.50
530,4661.91,1.25,0.45
531,3488.12,1.25,0.45
532,4272.74,1.25,0.45
533,3104.62,13.65,0.65
534,2921.57,1.25,0.45
535,3710.89,1.25,0.45
536,3519.05,1.25,0.50
537,4334.92,1.25,0.45
538,3135.51,1.25,0.45
539,1971.36,1.25,0.45
540,3742.26,1.20,0.45
541,4532.68,1.25,0.45
542,3357.66,1.20,0.45
543,4149.45,1.25,0.45
544,2983.20,1.25,0.45
545,2792.23,1.25,0.45
546,4554.38,1.25,0.45
547,3381.63,1.25,0.45
548,2224.68,1.20,0.45
549,2032.98,1.25,0.45
550,1842.16,1.25,0.45
551,2632.04,1.20,0.45
552,2439.52,1.20,0.45
553,2256.54,1.20,0.45
554,2064.97,1.25,0.45
555,1872.81,1.25,0.45
556,2653.77,1.25,0.45
557,2470.75,1.25,0.45
558,4242.33,1.20,0.45
559,3069.31,1.25,0.45
560,2885.83,1.25,0.45
561,4657.39,1.20,0.50
562,3492.47,1.25,0.45
563,4282.42,1.25,0.45
564,3117.85,1.25,0.50
565,3916.12,1.25,0.45
566,2743.15,1.25,0.45
567,4548.49,1.25,0.45
568,3358.43,1.25,0.45
569,3174.84,1.25,0.45
570,3973.58,1.25,0.45
571,2800.55,1.25,0.45
572,3589.86,1.25,0.50
573,3397.76,1.25,0.45
574,4188.31,1.25,0.45
575,3023.38,1.25,0.45
576,1850.06,1.25,0.45
577,4646.34,1.25,0.45
578,2448.13,1.25,0.45
579,2256.41,1.20,0.45
580,2064.46,1.25,0.45
581,1880.98,1.25,0.45
582,2679.49,1.25,0.45
583,2496.15,1.25,0.50
584,2287.38,1.20,0.45
585,2095.31,1.25,0.45
586,1903.84,1.20,0.45
587,3666.65,1.25,0.45
588,3466.54,1.20,0.45
589,4255.95,1.25,0.45
590,3082.80,1.25,0.45
591,3871.26,1.20,0.50
592,4661.33,1.25,0.45
593,3488.71,1.25,0.45
594,4278.47,1.20,0.45
595,3104.71,1.25,0.45
596,2922.12,1.20,0.45
597,4693.41,1.20,0.45
598,4492.67,1.25,0.45
599,3319.12,1.20,0.45
600,2146.25,1.25,0.45
601,3908.97,1.25,0.45
602,4698.50,1.25,0.45
603,3534.22,1.25,0.45
604,4323.55,1.25,0.45
605,3150.39,1.25,0.45
