ctrl_iteration,exec_time,tau_i,tau_o
392,4278.32,2.10,0.60
393,3104.65,2.10,0.60
394,2912.91,2.10,0.65
395,4666.92,2.10,0.60
396,3493.17,2.10,0.65
397,4283.19,2.10,0.65
398,3109.75,2.05,0.65
399,3900.34,2.05,0.65
400,3715.92,2.10,0.60
401,2542.99,2.10,0.60
402,4314.43,2.10,0.65
403,3141.56,2.10,0.60
404,3922.07,2.30,0.60
405,2748.85,2.10,0.60
406,3538.87,2.10,0.60
407,3338.36,2.05,0.60
408,4128.14,2.10,0.60
409,2954.92,2.10,0.60
410,1781.05,2.05,0.60
411,2571.19,2.05,0.60
412,2370.48,2.10,0.60
413,2178.50,2.10,0.60
414,1978.82,2.05,0.60
415,1786.91,2.10,0.60
416,2576.50,2.10,0.60
417,2376.02,2.10,0.65
418,2183.87,2.10,0.60
419,1992.11,2.10,0.60
420,2773.67,2.30,0.65
421,4536.40,2.10,0.60
422,4344.58,2.10,0.60
423,3162.70,2.10,0.60
424,1997.63,2.10,0.60
425,3759.87,2.10,0.60
426,4550.27,2.10,0.60
427,3367.75,2.30,0.60
428,4158.10,2.10,0.60
429,2984.33,2.10,0.60
430,2783.75,2.10,0.60
431,4538.05,2.05,0.60
432,3364.54,2.10,0.60
433,4154.85,2.10,0.60
434,2981.11,2.35,0.60
435,2797.40,2.30,0.60
436,3596.09,2.10,0.60
437,3404.71,2.10,0.65
438,4194.58,2.10,0.65
439,3021.55,2.05,0.60
440,1847.53,2.10,0.60
441,2637.22,2.10,0.60
442,2445.89,2.10,0.60
443,2262.12,2.10,0.60
444,2070.72,2.10,0.65
445,1887.65,2.10,0.60
446,2677.60,2.10,0.60
447,2485.86,2.10,0.60
448,2302.35,2.10,0.65
449,2110.69,2.10,0.65
450,2900.40,2.10,0.60
451,4681.15,2.10,0.60
452,4488.95,2.10,0.60
453,3324.27,2.10,0.60
454,3140.72,2.10,0.60
455,3939.11,2.10,0.60
456,2774.94,2.10,0.65
457,3572.76,2.10,0.60
458,3389.44,2.10,0.65
459,4188.56,2.10,0.60
460,3015.33,2.05,0.60
461,1850.66,2.10,0.65
462,4238.24,2.10,0.60
463,5671.15,2.10,0.60
464,5218.92,2.10,0.60
465,4054.60,2.30,0.65
466,2889.24,2.10,0.60
467,4678.72,2.10,0.60
468,3513.72,2.10,0.60
469,3330.22,2.10,0.60
470,4120.24,2.10,0.65
471,1973.98,2.10,0.60
472,1903.26,2.10,0.60
473,2580.68,2.10,0.60
474,2397.35,2.10,0.60
475,2205.88,2.10,0.65
476,2013.53,2.25,0.60
477,1821.98,2.10,0.60
478,2620.67,2.10,0.65
479,2436.87,2.10,0.65
480,2245.92,2.10,0.60
481,4025.18,2.10,0.65
482,2861.40,2.05,0.60
483,4633.08,2.10,0.60
484,3458.79,2.10,0.60
485,4257.74,2.10,0.65
486,3093.20,2.25,0.60
487,2901.25,2.10,0.65
488,4662.74,2.10,0.60
489,3499.35,2.10,0.65
490,4289.08,2.10,0.60
491,3115.53,2.10,0.60
492,2941.21,2.10,0.60
493,2749.29,2.10,0.60
494,4512.26,2.10,0.60
495,3347.42,2.10,0.65
496,4137.57,2.10,0.60
497,2972.65,2.10,0.65
498,3762.67,2.10,0.60
499,4551.56,2.10,0.60
500,2414.95,2.10,0.60
501,2231.49,2.10,0.60
502,2047.76,2.10,0.60
503,1856.50,2.10,0.60
504,2655.24,2.10,0.65
505,2472.28,2.10,0.60
506,2288.52,2.10,0.60
507,2096.85,2.10,0.60
508,1913.53,2.10,0.60
509,2712.24,2.10,0.65
510,4475.22,2.30,0.60
511,3310.40,2.10,0.60
512,3118.91,2.10,0.65
513,3908.07,2.10,0.65
514,2735.33,2.10,0.60
515,4515.19,2.10,0.60
516,3350.00,2.05,0.60
517,2176.73,2.30,0.60
518,3957.14,2.10,0.60
519,2783.52,2.30,0.60
520,4546.63,2.10,0.60
521,3373.01,2.10,0.65
522,4163.11,2.10,0.60
523,2988.97,2.10,0.60
524,2806.20,2.10,0.60
525,3595.49,2.10,0.60
526,3404.86,2.10,0.60
527,4194.04,2.10,0.60
528,3020.68,2.30,0.65
529,1846.67,2.30,0.60
530,2637.49,2.10,0.60
531,2445.55,2.10,0.60
532,2252.71,2.10,0.60
533,2061.42,2.10,0.60
534,1869.93,2.10,0.65
535,2659.36,2.10,0.60
536,2468.05,2.05,0.65
537,2276.46,2.10,0.60
538,2092.58,2.10,0.60
539,2882.97,2.10,0.60
540,4654.57,2.10,0.60
541,4462.74,2.10,0.60
542,3297.22,2.10,0.60
543,3105.54,2.10,0.60
544,3895.63,2.10,0.60
545,4686.29,2.10,0.60
546,3511.84,2.10,0.65
547,3328.96,2.30,0.60
548,4119.05,2.10,0.60
549,2945.48,2.10,0.60
550,1780.09,2.30,0.60
551,4151.61,2.05,0.60
552,5558.04,2.10,0.60
553,5096.41,2.10,0.65
554,3932.54,2.10,0.60
555,2759.25,2.10,0.65
556,4538.69,2.10,0.60
557,3365.24,2.10,0.60
558,3165.81,2.10,0.60
559,3963.97,2.10,0.65
560,1817.07,2.10,0.65
561,2597.89,2.10,0.60
562,2414.97,2.30,0.65
563,2223.34,2.10,0.60
564,2031.20,2.10,0.60
565,1839.82,2.10,0.65
566,2629.85,2.05,0.60
567,2429.46,2.10,0.60
568,2238.16,2.10,0.60
569,2045.46,2.10,0.60
570,3817.00,2.10,0.60
571,2643.38,2.10,0.60
572,4406.89,2.10,0.60
573,3232.83,2.10,0.60
574,4022.78,2.10,0.60
575,3822.38,2.10,0.60
576,3630.96,2.10,0.60
577,4420.07,2.10,0.60
578,3247.08,2.10,0.60
579,2073.60,2.10,0.65
580,3836.36,2.10,0.60
581,4626.09,2.10,0.60
582,3444.08,2.10,0.60
583,2270.69,2.10,0.60
584,4033.69,2.10,0.60
585,2851.36,2.10,0.60
586,4613.89,2.10,0.60
587,3440.66,2.10,0.60
588,4230.65,2.30,0.65
589,3048.81,2.10,0.65
590,1883.49,2.10,0.60
591,2664.48,2.10,0.65
592,2472.81,2.10,0.60
593,2272.75,2.10,0.60
594,2080.16,2.10,0.65
595,1888.93,2.10,0.65
596,2678.46,2.10,0.60
597,2486.67,2.10,0.60
598,2294.68,2.10,0.60
599,2111.90,2.05,0.60
600,3866.04,2.10,0.60
601,3665.46,2.05,0.60
602,4455.42,2.10,0.60
603,3282.25,2.30,0.60
604,2107.77,2.30,0.65
605,3879.91,2.10,0.65
606,4661.42,2.10,0.60
607,3487.97,2.10,0.65
608,4268.77,2.10,0.60
609,3095.10,2.10,0.60
610,2895.91,2.10,0.60
611,4657.66,2.10,0.65
612,3475.81,2.10,0.60
613,4265.97,2.10,0.60
614,3092.29,2.10,0.60
615,3881.43,2.10,0.65
616,4671.34,2.10,0.65
617,3497.88,2.10,0.60
618,3315.39,2.10,0.65
619,3131.57,2.10,0.60
620,1958.59,2.10,0.60
621,1888.28,2.10,0.60
622,2564.96,2.10,0.60
623,2373.39,2.10,0.60
624,2181.77,2.10,0.60
625,1998.05,2.10,0.60
626,1806.30,2.10,0.65
627,2587.24,2.10,0.60
628,2395.78,2.10,0.60
629,2195.37,2.10,0.65
630,3958.61,2.10,0.60
631,2784.93,2.10,0.65
632,4556.00,2.10,0.60
633,3383.17,2.10,0.60
634,3182.85,2.10,0.65
635,3980.95,2.10,0.60
636,2807.31,2.10,0.60
637,3597.08,2.10,0.65
638,3405.42,2.10,0.60
639,4204.09,2.10,0.60
640,3039.77,2.10,0.60
641,2847.49,2.05,0.60
642,4619.32,2.10,0.60
643,3454.77,2.10,0.65
644,4243.18,2.10,0.60
645,3079.15,2.10,0.60
646,2878.30,2.05,0.60
647,4641.28,2.30,0.60
648,3468.83,2.10,0.65
649,4258.17,2.05,0.60
650,2111.60,2.10,0.60
651,1919.88,2.10,0.60
652,2718.15,2.10,0.65
653,2526.47,2.10,0.60
654,2334.38,2.10,0.65
655,2142.75,2.05,0.60
656,1951.02,2.10,0.65
657,2740.70,2.10,0.60
658,2540.80,2.10,0.60
659,2348.85,2.10,0.60
660,4111.37,2.10,0.60
661,2937.94,2.10,0.60
662,1912.06,2.10,0.60
663,3553.60,2.10,0.60
664,3361.87,2.10,0.60
665,4151.22,2.10,0.65
666,2986.86,2.10,0.60
667,1813.20,2.10,0.60
668,6520.62,2.10,0.60
669,5347.43,2.10,0.60
670,5155.50,2.10,0.60
671,3982.06,2.05,0.65
672,2817.28,2.10,0.60
673,4589.12,2.10,0.65
674,3424.66,2.10,0.60
675,3240.87,2.10,0.65
676,4031.07,2.10,0.60
677,2857.62,2.10,0.60
678,3647.20,2.10,0.60
679,3455.40,2.10,0.65
680,2282.08,2.10,0.65
681,2081.45,2.15,0.60
682,1889.54,2.10,0.60
683,2679.11,2.10,0.60
684,2487.61,2.10,0.60
685,2295.79,2.10,0.60
686,2104.07,2.10,0.65
687,1912.08,2.10,0.60
688,2702.65,2.10,0.60
689,2510.75,2.10,0.65
690,4273.47,2.05,0.60
691,3099.55,2.05,0.65
692,2916.74,2.10,0.60
693,3715.12,2.10,0.60
694,3523.68,2.10,0.60
695,4313.48,2.10,0.60
696,3139.73,2.10,0.60
697,1974.63,2.10,0.65
698,3737.64,2.10,0.60
699,4528.09,2.10,0.60
700,3363.20,2.10,0.60
701,2198.02,2.10,0.60
702,3978.41,2.25,0.60
703,2804.79,2.10,0.65
