ctrl_iteration,exec_time,tau_i,tau_o
363,2406.32,1.20,0.45
364,2214.58,1.20,0.45
365,2031.54,1.25,0.45
366,1848.05,1.20,0.45
367,2638.25,1.20,0.45
368,2455.10,1.20,0.45
369,2272.24,1.20,0.45
370,2088.14,1.25,0.45
371,3860.39,1.20,0.45
372,4659.30,1.25,0.45
373,3493.95,1.25,0.45
374,3311.70,1.25,0.45
375,3127.80,1.20,0.50
376,3925.89,1.25,0.45
377,2762.34,1.20,0.45
378,3560.40,1.25,0.45
379,3376.88,1.20,0.45
380,4175.25,1.20,0.45
381,3010.82,1.20,0.45
382,2827.70,1.25,0.45
383,4607.79,1.20,0.45
384,3443.10,1.20,0.45
385,4249.67,1.25,0.45
386,3093.82,1.25,0.45
387,2919.80,1.25,0.45
388,4690.98,1.25,0.45
389,3534.60,1.25,0.45
390,4334.06,1.20,0.45
391,2195.21,1.20,0.45
392,2012.82,1.20,0.45
393,1838.17,1.25,0.45
394,2637.22,1.20,0.45
395,2462.17,1.25,0.45
396,2279.89,1.25,0.45
397,2095.92,1.25,0.45
398,1913.28,1.25,0.45
399,2720.45,1.25,0.45
400,2537.44,1.20,0.45
401,4309.15,1.25,0.45
402,3143.90,1.25,0.45
403,2109.53,1.25,0.50
404,3177.95,1.25,0.45
405,3593.34,1.25,0.45
406,4391.97,1.20,0.45
407,3236.15,1.25,0.45
408,2071.25,1.20,0.45
409,3851.44,1.20,0.45
410,4649.96,1.20,0.45
411,3494.05,1.20,0.45
412,2329.40,1.25,0.45
413,4109.71,1.25,0.45
414,2944.71,1.20,0.45
415,3751.77,1.20,0.45
416,4550.64,1.25,0.45
417,3386.20,1.20,0.50
418,3202.09,1.25,0.45
419,4001.20,1.20,0.45
420,2836.14,1.20,0.45
421,2653.68,1.25,0.45
422,2470.42,1.20,0.45
423,2287.09,1.20,0.50
424,2103.74,1.25,0.45
425,1911.69,1.25,0.45
426,2711.05,1.25,0.45
427,2528.41,1.30,0.45
428,2335.35,1.20,0.45
429,2151.97,1.25,0.45
430,1960.67,1.20,0.45
431,3853.64,1.25,0.45
432,2802.18,1.25,0.45
433,4356.73,1.25,0.45
434,3191.10,1.25,0.45
435,3998.68,1.25,0.45
436,2833.94,1.20,0.45
437,4622.85,1.20,0.45
438,3457.65,1.25,0.45
439,3274.82,1.20,0.45
440,4073.18,1.20,0.45
441,2908.38,1.20,0.45
442,3706.73,1.25,0.45
443,3515.49,1.20,0.45
444,4304.95,1.20,0.45
445,3140.47,1.20,0.45
446,1984.15,1.25,0.45
447,3755.55,1.20,0.45
448,4555.01,1.20,0.45
449,3381.34,1.20,0.45
450,4180.25,1.20,0.45
451,3023.35,1.25,0.45
452,1850.00,1.25,0.45
453,2648.75,1.20,0.45
454,2465.50,1.20,0.45
455,2282.14,1.20,0.45
456,2099.36,1.20,0.45
457,1915.96,1.25,0.45
458,2713.93,1.25,0.45
459,2522.75,1.15,0.45
460,2339.19,1.25,0.45
461,3120.57,1.25,0.45
462,2928.90,1.25,0.45
463,3840.74,1.25,0.45
464,4509.16,1.25,0.45
465,3343.86,1.25,0.45
466,4134.25,1.20,0.45
467,2968.97,1.25,0.45
468,2794.20,1.25,0.45
469,3593.40,1.25,0.45
470,3401.60,1.25,0.45
471,4208.29,1.20,0.45
472,3043.82,1.25,0.45
473,1879.14,1.25,0.45
474,6585.77,1.20,0.45
475,5422.07,1.20,0.45
476,4543.38,1.25,0.45
477,4082.85,1.25,0.45
478,2918.22,1.20,0.45
479,3838.40,1.25,0.45
480,2569.20,1.25,0.45
481,2394.87,1.25,0.50
482,2211.45,1.25,0.45
483,2037.21,1.20,0.45
484,1854.06,1.25,0.45
485,2660.85,1.15,0.45
486,2477.92,1.25,0.45
487,2303.82,1.20,0.45
488,2129.10,1.25,0.45
489,1945.98,1.25,0.45
490,4708.58,1.25,0.45
491,4533.57,1.25,0.45
492,4350.38,1.25,0.45
493,4175.76,1.25,0.45
494,3011.50,1.20,0.45
495,1854.90,1.25,0.45
496,6571.69,1.25,0.45
497,5406.88,1.20,0.45
498,4632.31,1.25,0.45
499,4076.31,1.20,0.50
500,2911.67,1.25,0.45
501,4709.09,1.20,0.45
502,3544.39,1.25,0.45
503,2388.40,1.25,0.45
504,4178.32,1.25,0.45
505,3021.14,1.20,0.45
506,3819.97,1.20,0.45
507,4626.78,1.20,0.45
508,3470.83,1.25,0.45
509,3287.80,1.25,0.45
510,2122.57,1.25,0.45
511,1939.69,1.25,0.45
512,2747.20,1.25,0.45
513,2564.07,1.20,0.45
514,2380.83,1.20,0.45
515,2197.89,1.25,0.50
516,2014.79,1.15,0.45
517,1839.69,1.20,0.45
518,2638.67,1.25,0.45
519,2455.27,1.25,0.45
520,4226.81,1.25,0.45
521,3062.49,1.25,0.45
522,2888.12,1.20,0.45
523,3695.18,1.25,0.45
524,3511.58,1.25,0.45
525,4310.99,1.20,0.50
526,3154.40,1.20,0.45
527,1989.27,1.25,0.45
528,3769.62,1.25,0.45
529,4568.28,1.25,0.45
530,3403.43,1.20,0.45
531,2238.99,1.20,0.45
532,4018.94,1.25,0.45
533,2854.54,1.20,0.45
534,4625.66,1.20,0.45
535,3461.06,1.25,0.45
536,4259.78,1.25,0.45
537,3103.78,1.25,0.45
538,2929.14,1.20,0.45
539,2745.59,1.20,0.45
540,2562.38,1.25,0.45
541,2379.30,1.25,0.45
542,2196.77,1.20,0.45
543,2013.02,1.20,0.45
544,1830.21,1.20,0.45
545,2620.06,1.25,0.45
546,2445.44,1.25,0.45
547,2262.59,1.25,0.45
548,2079.14,1.20,0.45
549,1896.32,1.20,0.45
550,4666.81,1.20,0.50
551,4483.66,1.20,0.50
552,3318.98,1.20,0.50
553,3213.78,1.25,0.45
554,3942.66,1.20,0.45
555,2803.92,1.20,0.45
556,3577.26,1.25,0.45
557,3393.56,1.20,0.45
558,4192.14,1.25,0.45
559,3027.85,1.20,0.45
560,1863.21,1.25,0.45
561,4216.14,1.25,0.45
562,4432.38,1.20,0.45
563,3268.25,1.20,0.45
564,4075.42,1.20,0.45
565,2910.65,1.20,0.45
566,4698.79,1.25,0.45
567,3533.87,1.20,0.45
568,3343.13,1.25,0.45
569,4140.29,1.20,0.45
570,1995.00,1.20,0.45
571,1811.78,1.25,0.45
572,2610.33,1.20,0.45
573,2427.08,1.20,0.45
574,2252.50,1.25,0.45
575,2086.92,1.20,0.45
576,1886.59,1.25,0.45
577,2684.73,1.25,0.45
578,2501.60,1.20,0.45
579,2318.50,1.20,0.45
580,4090.47,1.20,0.45
581,2925.33,1.20,0.45
582,2733.89,1.20,0.45
583,4496.56,1.15,0.45
584,3331.52,1.15,0.45
585,4121.77,1.25,0.45
586,2965.81,1.20,0.45
587,2782.58,1.25,0.45
588,3589.51,1.25,0.45
589,3406.55,1.20,0.45
590,4205.01,1.25,0.45
591,3048.74,1.20,0.45
592,1884.24,1.20,0.45
593,6600.67,1.25,0.45
594,5435.79,1.25,0.45
595,4574.78,1.20,0.45
596,4079.91,1.25,0.45
597,2922.50,1.20,0.45
598,3835.08,1.25,0.45
599,2565.45,1.20,0.45
600,2382.43,1.25,0.45
601,2190.38,1.20,0.45
602,2007.56,1.25,0.45
603,1824.42,1.20,0.45
604,2622.89,1.25,0.45
605,2465.64,1.25,0.45
606,2265.51,1.25,0.45
607,2082.00,1.20,0.45
608,1907.64,1.25,0.45
609,4669.31,1.25,0.45
610,4486.17,1.20,0.45
611,4312.91,1.25,0.45
612,3146.87,1.25,0.45
613,3946.05,1.25,0.45
614,2780.98,1.20,0.45
615,4560.53,1.25,0.45
616,3405.54,1.20,0.45
617,4211.98,1.25,0.45
618,3038.55,1.20,0.45
619,2855.86,1.20,0.45
620,4635.41,1.20,0.45
621,3471.69,1.20,0.45
622,4269.70,1.20,0.45
623,3105.41,1.25,0.45
624,2929.90,1.25,0.45
625,2746.75,1.25,0.45
626,4519.29,1.30,0.45
627,3354.03,1.20,0.45
628,4143.71,1.25,0.45
629,1997.13,1.25,0.45
630,1814.43,1.20,0.45
631,2604.49,1.20,0.45
632,2412.37,1.20,0.45
633,2220.86,1.25,0.45
634,2037.63,1.20,0.45
635,1854.48,1.20,0.45
636,2644.25,1.20,0.45
637,2461.65,1.20,0.45
638,2269.13,1.20,0.45
639,4039.89,1.25,0.45
640,2876.32,1.25,0.45
641,3665.87,1.20,0.45
642,2900.37,1.25,0.45
643,3699.40,1.25,0.45
644,3116.25,1.20,0.45
645,3923.07,1.20,0.45
646,2759.24,1.20,0.45
647,4556.35,1.20,0.45
648,3391.61,1.25,0.45
649,3209.12,1.25,0.45
650,3025.71,1.20,0.45
651,3842.37,1.25,0.45
652,4631.77,1.20,0.45
653,3466.27,1.25,0.45
654,3283.36,1.20,0.45
655,4115.72,1.25,0.45
656,2925.75,1.20,0.45
657,1770.08,1.15,0.45
658,4549.01,1.20,0.50
659,2377.14,1.25,0.45
660,2193.09,1.25,0.45
661,2009.67,1.25,0.45
662,1827.28,1.20,0.45
663,2625.71,1.20,0.45
664,2442.69,1.20,0.45
665,2259.27,1.25,0.45
666,2076.55,1.20,0.50
667,1893.48,1.25,0.45
668,3664.72,1.20,0.45
669,3481.01,1.20,0.45
670,4280.59,1.20,0.45
671,3114.77,1.25,0.45
672,3913.87,1.25,0.45
673,2748.83,1.25,0.45
674,4537.41,1.25,0.45
675,3398.96,1.25,0.45
676,3190.26,1.20,0.45
677,3979.64,1.20,0.45
678,2815.50,1.20,0.45
679,3614.12,1.25,0.45
680,3430.64,1.20,0.45
681,4229.32,1.20,0.45
682,3055.57,1.15,0.45
683,1899.44,1.25,0.45
684,6607.24,1.25,0.45
685,5468.74,1.20,0.45
686,4564.03,1.20,0.45
687,4094.79,1.20,0.45
688,1956.59,1.25,0.45
689,2747.12,1.25,0.45
690,2563.77,1.20,0.45
691,2380.33,1.20,0.45
692,2188.24,1.20,0.45
693,2005.59,1.20,0.45
694,1814.10,1.25,0.45
695,2612.10,1.20,0.45
696,2429.29,1.25,0.45
697,2237.31,1.25,0.45
698,4008.26,1.20,0.45
699,2844.17,1.20,0.45
700,4641.71,1.25,0.45
701,3459.56,1.25,0.45
702,3267.72,1.20,0.45
703,4057.95,1.25,0.45
704,2893.09,1.20,0.45
705,3708.92,1.20,0.45
706,3499.19,1.25,0.45
707,4297.93,1.25,0.45
708,3124.94,1.25,0.45
709,2941.80,1.25,0.45
710,2758.17,1.20,0.45
711,4530.09,1.25,0.45
712,3365.08,1.20,0.45
713,4163.25,1.25,0.45
